Index ,Manufacturer Part Number ,Manufacturer Name ,Description                      ,Requested Quantity ,Digi-Key Part Number ,Unit Price ,Extended Price
1     ,0451110600               ,Molex             ,MICROLOCK PLUS CABLE BLACK 6 CKT ,2                  ,WM17184-ND           ,3.81000    ,$7.62
2     ,0451110605               ,Molex             ,MICROLOCK PLUS CABLE BLACK 6 CKT ,4                  ,WM17188-ND           ,4.32000    ,$17.28
