Part              ,Description                                                         ,Quantity          ,Supplier      ,Supplier Part Number ,Unit Cost (CAD) ,Reference
M4x0.7 16mm Bolts ,"Alloy Steel, Black Oxide Coated, Socket Head Cap"                  ,4 (1 pack of 100) ,McMaster-Carr ,91290A154            ,0.48 (0.12 ea.) ,https://www.mcmaster.com/91290A154/
M4x0.7 4mm Bolts  ,"18-8 Stainless Steel, Socket Head Cap"                             ,2 (1 pack of 10)  ,McMaster-Carr ,91292A023            ,1.58 (0.79 ea.) ,https://www.mcmaster.com/91292A023/
Nylon Washer      ,"Lubricant-Filled, 15 mm ID, 28 mm OD"                              ,2 (1 pack of 5)   ,McMaster-Carr ,91545A510            ,2.96 (1.48 ea.) ,https://www.mcmaster.com/91545A510/
Ball Bearing      ,"Sealed, Stainless Steel"                                           ,3                 ,McMaster-Carr ,6138K65              ,10.34           ,https://www.mcmaster.com/6138K65/
3/16in. OD Tubing ,"3/16in. OD x 1/16in. ID x 10ft. Coil, Tygon PVC, Clear, 95psi max" ,1                 ,McMaster-Carr ,6516T62              ,10.20           ,https://www.mcmaster.com/6516T62/
