Manufacturer Part Number ,Manufacturer Name       ,Description                     ,Quantity ,Digi-Key Part Number ,Unit Price ,Extended Price
1334                     ,Adafruit Industries LLC ,RGB COLOR SENSOR WITH IR FILTER ,1        ,1528-1378-ND         ,10.94000   ,10.94
FAD1-12025CBHW12         ,Qualtek                 ,FAN AXIAL 120X25.5MM 12VDC WIRE ,2        ,Q638-ND              ,17.28000   ,34.56
