Index ,Manufacturer Part Number ,Manufacturer Name       ,Description                       ,Quantity ,Digi-Key Part Number ,Unit Price ,Extended Price ,Datasheet                                                                                                  
    1 ,CP854345H                ,CUI Devices             ,"PELTIER, 40 X 40 X 3.45 MM, 8.5" ,       1 ,102-4052-ND          ,  45.32000 ,$45.32         ,https://www.cuidevices.com/product/resource/digikeypdf/cp85h.pdf                                           ,
    2 ,2857                     ,Adafruit Industries LLC ,SENSOR HUMID/TEMP 5V I2C 2% MOD   ,       2 ,1528-1540-ND         ,  19.30000 ,$38.60         ,https://cdn-learn.adafruit.com/downloads/pdf/adafruit-sht31-d-temperature-and-humidity-sensor-breakout.pdf ,
    3 ,FAD1-12025CBHW12         ,Qualtek                 ,FAN AXIAL 120X25.5MM 12VDC WIRE   ,       2 ,Q638-ND              ,  17.28000 ,$34.56         ,https://www.qualtekusa.com/images/Fans/pdf_files/FAD1-12025.pdf                                            
