Index ,Manufacturer Part Number ,Manufacturer Name  ,Description                       ,Requested Quantity ,Digi-Key Part Number      ,Unit Price ,Extended Price ,Datasheet                                                        ,Reference Designator
1     ,LDD-700H                 ,MEAN WELL USA Inc. ,LED DRIVER CC BUCK 2-52V 700MA    ,5                  ,1866-3119-ND              ,9.34000    ,$46.70         ,https://www.meanwellusa.com/upload/pdf/LDD-H/LDD-H-spec.pdf      ,LEDPWR1-5
2     ,5055670671               ,Molex              ,CONN HEADER SMD R/A 6POS 1.25MM   ,3                  ,WM17042DKR-ND             ,1.17000    ,$3.51          ,https://www.molex.com/pdm_docs/ps/5055650000-000.pdf             ,J1-3
3     ,KLDX-PA-0202-A-LT        ,"Kycon, Inc."      ,"POWER PLUG ASSEMBLY, 2.0 MM DIA" ,1                  ,2092-KLDX-PA-0202-A-LT-ND ,4.24000    ,$4.24          ,http://www.kycon.com/2013Catalogpage/DC%20Power/KLDX-P.pdf       ,
4     ,KLDX-0202-A-LT           ,"Kycon, Inc."      ,CONN PWR JACK 2.0X5.5MM SOLDER    ,1                  ,2092-KLDX-0202-A-LT-ND    ,1.89000    ,$1.89          ,http://www.kycon.com/2013Catalogpage/DC%20Power/KLDX_0202_LT.pdf ,J4
