"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Unit Price","Extended Price","Description"
"C322C104K5R5TA","KEMET","399-4329-ND","C1, C2, C5","3","0.32000","$0.96","CAP CER 0.1UF 50V X7R RADIAL"
"‎K103K10X7RF5UH5‎","Vishay Beyschlag/Draloric/BC Components","BC2662CT-ND","C4","1","0.24000","$0.24","CAP CER 10000PF 50V X7R RADIAL"
"FG14X7R1A106KRT06","TDK Corporation","445-173132-1-ND","C3","1","0.75000","$0.75","CAP CER 10UF 10V X7R RADIAL"
"PV36Y502C01B00","Bourns Inc.","490-2926-ND","RP1","1","2.14000","$2.14","TRIMMER 5K OHM 0.5W PC PIN TOP"
"SE555P","Texas Instruments","296-9684-5-ND","U1","1","0.64000","$0.64","IC OSC SINGLE TIMER 100KHZ 8-DIP"
"RLB0914-331KL","Bourns Inc.","RLB0914-331KL-ND","L1","1","0.66000","$0.66","FIXED IND 330UH 740MA 760MOHM TH"
"IRLZ44PBF","Vishay Siliconix","IRLZ44PBF-ND","Q1","1","3.50000","$3.50","MOSFET N-CH 60V 50A TO220AB"
"RNMF14FTC100R","Stackpole Electronics Inc","S100CACT-ND","R2","1","0.13000","$0.13","RES 100 OHM 1/4W 1% AXIAL"
"RNMF14FTC10K0","Stackpole Electronics Inc","S10KCACT-ND","R1","1","0.13000","$0.13","RES 10K OHM 1/4W 1% AXIAL"
